ID,Kurs,o/i,ER,SIMinGod,IRMinGod,OSMinGod,OTMinGod,OGMinGod,OFMinGod,OEMinGod,Tagovi
1,Matematika 1,o,1,1,,,,,,,"Algebra:0.3,Linear Algebra:0.3,Calculus:0.3,Math, Science, Engineering:0.3,Math:0.6,"
2,"Osnovi elektrotehnike 1	",o,1,,,,,,,,"Microelectronics:0.4,Engineering:0.1,Electrical Engineering:0.4,"
3,Fizika,o,1,1,,,,,,,"Game Physics:0.1,Optics:0.2,Lasers:0,1,Physics:0.8,Science:0.1,"
4,Programiranje 1,o,1,1,,,,,,,"Low-Level Languages:0.3,Regular Expressions:0.1,Functional Programming:0.1,Assembly:0.1,Programming Languages:0.2,Problem Solving:0.2,Coding Practices:0.1,Software Developmen:0.2,Algorithms:0.2,Computer Science:0.2,Python:0.8,"
5,Osnovi elektronike,o,,1,,,,2,,,"Microelectronics:0.4,Engineering:0.1,Electrical Engineering:0.4,"
6,Laboratorijske vežbe iz Fizike,o,1,,,,,,,,"Game Physics:0.1,Optics:0.2,Lasers:0,1,Physics:0.4,Science:0.1,"
7,Uvod u računarstvo,i,1,,,,,,,,"Hardware:0.1,Microsoft Word:0.2,Microsoft Office:0.2,Microsoft Excel:0.2,"
8,Praktikum iz Matematike 1,i,1,1,,,,,,,"Algebra:0.1,Linear Algebra:0.1,Calculus:0.1,Math, Science, Engineering:0.2,Math:0.3,"
9,Praktikum iz Programiranja 1,i,1,1,,,,,,,"Low-Level Languages:0.3,Regular Expressions:0.1,Functional Programming:0.1,Assembly:0.1,Programming Languages:0.2,Problem Solving:0.2,Coding Practices:0.1,Software Developmen:0.1,Algorithms:0.1,Computer Science:0.1,Python:0.4,"
10,Strani jezik 1,i,1,1,,,,,,,"English & Prose:0.9,"
11,Praktikum iz Osnova elektrotehnike 1,i,1,,,,,,,,"Microelectronics:0.2,Electrical Engineering:0.2,"
12,Sociologija,i,1,1,,,,,,,"Soft Skills:0.1,Professional Communication:0.2,Professional Development:0.1,Life-Work Balance:0.1,Leadership and Management:0.1,"
13,Matematika 2,o,1,1,,,,,,,"Algebra:0.3,Linear Algebra:0.3,Calculus:0.3,Math, Science, Engineering:0.3,Math:0.6,"
14,"Osnovi elektrotehnike 2	",o,1,,,,,,,,"Microelectronics:0.4,Engineering:0.1,Electrical Engineering:0.4,"
15,Programiranje 2,o,1,1,,,,,,,"Regular Expressions:0.1,Functional Programming:0.1,Embedded Software:0.1,Programming Languages:0.2,Problem Solving:0.2,Embedded Systems:0.1,Software Developmen:0.2,Coding Practices:0.1,C:0.7,Algorithms:0.2,Computer Science:0.2,"
16,Laboratorijske vežbe iz Osnova elektrotehnike,o,1,,,,,,,,"Microelectronics:0.2,Electrical Engineering:0.2,"
17,Fizika 2,i,1,1,,,,,,,"Game Physics:0.1,Optics:0.8,Lasers:0.3,Physics:0.8,Science:0.1,"
18,Osnovi računarske tehnike 1,i,1,1,,,,,,,"Programmable Logic Controllers:0.7,Hardware:0.2,Embedded Systems:0.05,"
19,Praktikum iz Matematike 2,i,1,1,,,,,,,"Algebra:0.1,Linear Algebra:0.1,Calculus:0.1,Math, Science, Engineering:0.1,Math:0.3,"
20,Uvod u elektroniku i digitalne sisteme,i,1,,,,,,,,"Programmable Logic Controllers:0.1,Hardware:0.4,Microcontrollers:0.1,Arduino:0.1,Fuel Cells:0.2,Raspberry Pi:0.2,Engineering:0.1,Electrical Engineering:0.2,"
